Tỉnh,Quận,Trường
Tỉnh Bắc Kạn,Huyện Chợ Đồn,Trường TH&THCS Yên Mỹ (06064601)
Tỉnh Bắc Kạn,Huyện Chợ Đồn,Trường TH&THCS Đại Sảo (06064602)
Tỉnh Bắc Kạn,Huyện Chợ Đồn,Trường TH&THCS Đồng Thắng (06064603)
Tỉnh Bắc Kạn,Huyện Chợ Đồn,Trường TH&THCS Lương Bằng (06064604)
Tỉnh Bắc Kạn,Huyện Chợ Đồn,Trường TH&THCS Bằng Phúc (06064605)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Hòa Mục (06065401)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Cao Kỳ (06065402)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Thanh Vận (06065403)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Thanh Mai (06065404)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Nông Hạ (06065405)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Nông Thịnh (06065406)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Yên Đĩnh (06065407)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Đồng Tâm (06065408)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Yên Hân (06065413)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Bình Văn (06065414)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Yên Cư (06065415)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH Như Cố (06065416)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường Tiểu học Quảng Chu (06065417)
Tỉnh Bắc Kạn,Huyện Chợ Mới,TH&THCS Thanh Mai (06065502)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH&THCS Tân Sơn (06065601)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH&THCS Mai Lạp (06065602)
Tỉnh Bắc Kạn,Huyện Chợ Mới,Trường TH&THCS Thanh Bình (06065603)
Tỉnh Bắc Kạn,Huyện Na Rì,TH Yến Lạc (06066405)
Tỉnh Bắc Kạn,Huyện Na Rì,Trường TH Côn Minh (06066409)
Tỉnh Bắc Kạn,Huyện Na Rì,Trường PTDTBT TH Đổng Xá (06066410)
Tỉnh Bắc Kạn,Huyện Na Rì,Trường PTDTBT TH Văn Vũ (06066412)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Côn Minh (06066509)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Xuân Dương (06066511)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Ân Tình (06066602)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Lương Thành (06066603)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Văn Minh (06066605)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Dương Sơn (06066608)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Liêm Thủy (06066609)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Quang Phong (06066610)
Tỉnh Bắc Kạn,Huyện Na Rì,PTDTBT TH&THCS Kim Hỷ (06066611)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Lạng San (06066612)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Lương Thượng (06066614)
Tỉnh Bắc Kạn,Huyện Na Rì,Trường TH&THCS Lam Sơn (06066615)
Tỉnh Bắc Kạn,Huyện Na Rì,Trường TH&THCS Cư Lễ (06066616)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Cường Lợi (06066617)
Tỉnh Bắc Kạn,Huyện Na Rì,TH&THCS Kim Lư (06066618)
Tỉnh Bắc Kạn,Huyện Na Rì,Trường TH Trần Phú (06066401)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Cốc Đán (06062401)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Bằng Vân (06062403)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Đức Vân (06062404)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường Tiểu học Vân Tùng (06062405)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Thượng Quan (06062406)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Thuần Mang (06062407)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Hiệp Lực (06062410)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Nà Phặc (06062412)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH Trung Hòa (06062415)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,TH&THCS NÀ KHOANG (06062601)
Tỉnh Bắc Kạn,Huyện Ngân Sơn,Trường TH&THCS Thượng Ân (06062602)
