Tỉnh,Quận,Trường
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Tam Dị (24218406)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Thanh Lâm (24218409)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Yên Sơn. (24218410)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Đông Hưng (24218411)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Bình Sơn (24218413)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Lục Sơn (24218414)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Nghĩa Phương 1 (24218415)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Nghĩa Phương 2 (24218416)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Trường Sơn (24218418)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Vô Tranh 1 (24218419)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Vô Tranh 2 (24218420)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Đông Phú (24218421)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Đan Hội (24218423)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Cương Sơn (24218424)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Chu Điện (24218425)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Huyền Sơn (24218427)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Khám Lạng (24218428)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Lan Mẫu (24218429)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Phương Sơn (24218430)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Thị trấn Đồi Ngô số 1 (24218431)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Thị trấn Đồi Ngô số 2 (24218432)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường Tiểu học Vũ Xá (24218435)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường TH&THCS Tam Dị (24218513)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường TH&THCS Tiên Nha (24218526)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường TH&THCS Trường Giang (24218601)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường TH&THCS TT Đồi Ngô (24218602)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường TH&THCS Lục Sơn (24218603)
Tỉnh Bắc Giang,Huyện Lục Nam,Trường TH&THCS Bình Sơn (24218604)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Sa Lý (24219401)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Phong Vân (24219403)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Tân Sơn số 1 (24219404)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Tân Sơn số 2 (24219405)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Cấm Sơn (24219406)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Hộ Đáp (24219407)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Sơn Hải (24219408)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Đèo Gia (24219409)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Phú Nhuận (24219410)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Tân Lập (24219411)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường tiểu học Tân Mộc (24219412)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Biển Động (24219414)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Đồng Cốc (24219415)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Giáp Sơn (24219416)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Kiên Lao (24219417)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Biên Sơn (24219418)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Thanh Hải số 1 (24219419)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Thanh Hải số 2 (24219420)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Trù Hựu (24219421)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Nam Dương (24219422)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Quý Sơn số 1 (24219423)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Quý Sơn số 2 (24219424)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Phượng Sơn (24219425)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Hồng Giang (24219427)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Thị trấn Chũ số 1 (24219429)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Kiên Thành (24219430)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Mỹ An (24219432)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Tân Hoa (24219433)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Phì Điền (24219434)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Thị trấn Chũ số 2 (24219435)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học Tân Quang (24219436)
